Fecha,Producto vendido,Cantidad (kg/unidades),Precio unitario ($),Total venta ($),Categoria,Año,Mes,Día
2025-09-28,Oferta Pata y muslo,2.71,3335.900369,9040.29,Pollo,2025,9,28
2025-09-28,Picaña,0.84,17600.0,14784.0,Carne,2025,9,28
2025-09-28,Filet de Merluza,0.75,8990.906667,6743.18,Pescado,2025,9,28
2025-09-28,Gen Unitario,7.0,4471.43,31300.0,Almacen,2025,9,28
2025-09-28,Gen Pesable,13.59,9774.06,132829.5,Otros,2025,9,28
2025-09-30,Asado,1.38,13750.0,18975.0,Carne,2025,9,30
2025-09-30,Cuadrada,3.905,13490.0,52678.45,Carne,2025,9,30
2025-09-30,Tapa de nalga,3.57,12200.0,43554.0,Carne,2025,9,30
2025-09-30,Tapa de Asado,0.87,12100.0,10527.0,Carne,2025,9,30
2025-09-30,Bola de lomo,1.8,13250.0,23850.0,Carne,2025,9,30
2025-09-30,Nalga,2.315,16290.0,37711.35,Carne,2025,9,30
2025-09-30,Peceto,1.035,17690.0,18309.15,Carne,2025,9,30
2025-09-30,Cuadril,0.38,13690.0,5202.2,Carne,2025,9,30
2025-09-30,Paleta,1.905,11750.0,22383.75,Carne,2025,9,30
2025-09-30,Roastbeef,0.305,11259.01639,3434.0,Carne,2025,9,30
2025-09-30,Bife chorizo,1.92,18300.0,35136.0,Carne,2025,9,30
2025-09-30,Bife angosto,1.555,12390.0,19266.45,Carne,2025,9,30
2025-09-30,Pícada especial,0.485,12100.0,5868.5,Carne,2025,9,30
2025-09-30,Suprema,6.575,9590.898859,63060.16,Pollo,2025,9,30
2025-09-30,Paty casero,1.025,11900.0,12197.5,Carne,2025,9,30
2025-09-30,Mila pollo,5.58,8750.899642,48830.02,Elaborados,2025,9,30
2025-09-30,Filet Rebosado,1.205,9900.904564,11930.59,Pescado,2025,9,30
2025-09-30,Pata y Muslo,0.725,3750.896552,2719.4,Pollo,2025,9,30
2025-09-30,Oferta Pata y muslo,3.92,3335.90051,13076.73,Pollo,2025,9,30
2025-09-30,Bolsa,1.0,60.0,60.0,Almacen,2025,9,30
2025-09-30,Gen Unitario,4.0,9750.0,39000.0,Almacen,2025,9,30
2025-09-30,Gen Pesable,2.869,9102.82,26116.0,Otros,2025,9,30
2025-10-01,Asado,1.62,13750.0,22275.0,Carne,2025,10,1
2025-10-01,Vacio,1.505,15900.0,23929.5,Carne,2025,10,1
2025-10-01,Cuadrada,3.45,13490.0,46540.5,Carne,2025,10,1
2025-10-01,Tapa de asado,1.695,12100.0,20509.5,Carne,2025,10,1
2025-10-01,Bola de lomo,1.885,13250.0,24976.25,Carne,2025,10,1
2025-10-01,Nalga,9.335,16290.0,152067.15,Carne,2025,10,1
2025-10-01,Peceto,1.045,17690.0,18486.05,Carne,2025,10,1
2025-10-01,Cuadril,2.525,13690.0,34567.25,Carne,2025,10,1
2025-10-01,Paleta,1.15,11750.0,13512.5,Carne,2025,10,1
2025-10-01,Roastbeef,5.685,11259.00088,64007.42,Carne,2025,10,1
2025-10-01,Bife de chorizo,0.86,18300.0,15738.0,Carne,2025,10,1
2025-10-01,Bife angosto,1.84,12390.0,22797.6,Carne,2025,10,1
2025-10-01,Picada Especial,2.265,12100.0,27406.5,Carne,2025,10,1
2025-10-01,Pollo,4.155,3490.90012,14504.69,Pollo,2025,10,1
2025-10-01,Suprema,9.17,9590.899673,87948.55,Pollo,2025,10,1
2025-10-01,Mila pollo,4.19,8750.899761,36666.27,Elaborados,2025,10,1
2025-10-01,Mondongo,1.21,6200.900826,7503.09,Achura,2025,10,1
2025-10-01,Pata y Muslo,7.57,3750.899604,28394.31,Pollo,2025,10,1
2025-10-01,Ojo de bife,1.52,19300.0,29336.0,Carne,2025,10,1
2025-10-01,Filet de Merluza,2.045,8990.899756,18386.39,Pescado,2025,10,1
2025-10-01,Pategras,0.85,26300.0,22355.0,Embutidos,2025,10,1
2025-10-01,Gen Unitario,5.0,8200.0,41000.0,Almacen,2025,10,1
2025-10-01,Gen Pesable,1.915,7496.08,14355.0,Otros,2025,10,1
